Address,ETH Balance, usdt, bnb, usdc, matic
 0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE, 0.204037520815484481 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0xD551234Ae421e3BCBA99A0Da6d736074f22192FF, 0.016681683655759459 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x564286362092D8e7936f0549571a803B203aAceD, 2.019469115996582123 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x0681d8Db095565FE8A346fA0277bFfdE9C0eDBBF, 0.026170332414794523 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0xfE9e8709d3215310075d67E3ed32A380CCf451C8, 0.081933464554953125 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x4E9ce36E442e55EcD9025B9a6E0D88485d628A67, 0.10391024053813422 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8, 1996008.35576895243601038 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0xF977814e90dA44bFA03b6295A0616a897441aceC, 1470354.013205377471024352 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x001866Ae5B3de6cAa5a51543FD9fB64f524F5478, 0.123589042032075769 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x85b931A32a0725Be14285B66f1a22178c672d69B, 0.070447183669861347 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x708396f17127c42383E3b9014072679b2F60B82f, 0.563991910011862249 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0xE0F0CfDe7Ee664943906f17F7f14342E76A5CeC7, 0.029976375184006264 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x8F22F2063D253846B53609231eD80FA571Bc0C8F, 0.085121194133420469 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
 0x28C6c06298d514Db089934071355E5743bf21d60, 64379.857989682632044548 ETH, 0 usdt, 0 bnb, 0 usdc, 0 matic
